iter	Passed	Remaining
0	58	18012
1	109	16907
2	166	17108
3	212	16332
4	264	16205
5	312	15908
6	366	15925
7	426	16172
8	491	16492
9	544	16395
10	601	16416
11	657	16375
12	716	16417
13	776	16475
14	846	16702
15	911	16798
16	973	16835
17	1031	16789
18	1088	16726
19	1140	16592
20	1195	16504
21	1247	16394
22	1309	16393
23	1360	16263
24	1414	16181
25	1470	16124
26	1532	16118
27	1589	16063
28	1655	16100
29	1714	16056
30	1774	16025
31	1830	15955
32	1888	15912
33	1958	15952
34	2034	16043
35	2105	16083
36	2183	16167
37	2250	16168
38	2324	16208
39	2380	16126
40	2443	16091
41	2501	16022
42	2567	16002
43	2621	15906
44	2679	15840
45	2730	15732
46	2803	15747
47	2865	15699
48	2928	15656
49	2979	15554
50	3059	15596
51	3113	15507
52	3171	15440
53	3222	15337
54	3280	15270
55	3331	15171
56	3389	15106
57	3445	15031
58	3515	15014
59	3567	14921
60	3623	14850
61	3672	14750
62	3729	14679
63	3778	14581
64	3833	14509
65	3883	14415
66	3937	14339
67	3989	14257
68	4042	14176
69	4089	14078
70	4144	14009
71	4192	13915
72	4248	13851
73	4300	13772
74	4354	13702
75	4404	13620
76	4466	13572
77	4520	13502
78	4591	13484
79	4646	13418
80	4706	13362
81	4756	13284
82	4814	13224
83	4880	13188
84	4948	13156
85	5002	13086
86	5054	13013
87	5100	12925
88	5156	12863
89	5204	12779
90	5259	12714
91	5314	12649
92	5372	12593
93	5427	12529
94	5489	12480
95	5543	12415
96	5595	12345
97	5652	12285
98	5706	12220
99	5761	12156
100	5809	12079
101	5856	12000
102	5901	11917
103	5958	11859
104	6000	11772
105	6048	11697
106	6089	11609
107	6136	11533
108	6178	11449
109	6230	11384
110	6271	11299
111	6327	11243
112	6381	11181
113	6434	11119
114	6480	11045
115	6523	10966
116	6577	10906
117	6627	10840
118	6686	10787
119	6734	10719
120	6783	10651
121	6830	10580
122	6885	10524
123	6940	10467
124	6985	10394
125	7024	10314
126	7069	10241
127	7108	10163
128	7152	10091
129	7191	10013
130	7237	9945
131	7276	9867
132	7334	9816
133	7374	9741
134	7420	9674
135	7463	9603
136	7524	9556
137	7564	9483
138	7611	9418
139	7656	9351
140	7705	9289
141	7743	9216
142	7787	9149
143	7832	9082
144	7879	9020
145	7919	8950
146	7967	8889
147	8008	8819
148	8053	8756
149	8092	8686
150	8137	8622
151	8176	8552
152	8223	8492
153	8265	8426
154	8310	8363
155	8352	8298
156	8402	8242
157	8440	8173
158	8483	8109
159	8524	8045
160	8569	7983
161	8608	7917
162	8652	7856
163	8701	7799
164	8745	7738
165	8786	7674
166	8831	7615
167	8871	7551
168	8917	7492
169	8957	7429
170	9004	7372
171	9042	7307
172	9085	7247
173	9125	7184
174	9167	7124
175	9206	7061
176	9264	7013
177	9302	6950
178	9349	6894
179	9394	6836
180	9457	6792
181	9499	6733
182	9544	6675
183	9582	6613
184	9635	6562
185	9675	6502
186	9720	6445
187	9760	6385
188	9807	6330
189	9858	6278
190	9904	6222
191	9946	6164
192	9990	6108
193	10029	6048
194	10075	5993
195	10114	5934
196	10157	5877
197	10197	5819
198	10240	5763
199	10280	5705
200	10322	5648
201	10362	5591
202	10407	5537
203	10448	5480
204	10492	5425
205	10533	5368
206	10577	5314
207	10619	5258
208	10666	5205
209	10706	5149
210	10750	5095
211	10792	5039
212	10844	4989
213	10886	4934
214	10931	4880
215	10972	4825
216	11017	4772
217	11056	4716
218	11112	4668
219	11153	4613
220	11198	4560
221	11252	4511
222	11300	4459
223	11340	4404
224	11384	4351
225	11426	4297
226	11474	4246
227	11519	4193
228	11564	4141
229	11605	4087
230	11647	4033
231	11689	3980
232	11734	3928
233	11774	3874
234	11821	3823
235	11862	3769
236	11912	3719
237	11950	3665
238	12005	3616
239	12041	3562
240	12087	3510
241	12126	3457
242	12171	3406
243	12213	3353
244	12258	3302
245	12297	3249
246	12340	3197
247	12381	3145
248	12425	3093
249	12466	3041
250	12511	2990
251	12549	2938
252	12592	2886
253	12631	2834
254	12678	2784
255	12717	2732
256	12765	2682
257	12806	2630
258	12853	2580
259	12895	2529
260	12940	2478
261	12981	2427
262	13026	2377
263	13064	2325
264	13107	2275
265	13158	2225
266	13200	2175
267	13238	2124
268	13282	2073
269	13323	2023
270	13372	1973
271	13415	1923
272	13463	1873
273	13505	1823
274	13552	1774
275	13600	1724
276	13648	1675
277	13690	1625
278	13739	1575
279	13781	1525
280	13830	1476
281	13876	1426
282	13925	1377
283	13965	1327
284	14009	1278
285	14057	1228
286	14113	1180
287	14164	1131
288	14212	1081
289	14253	1032
290	14298	982
291	14338	933
292	14386	883
293	14431	834
294	14476	785
295	14526	736
296	14578	687
297	14618	637
298	14663	588
299	14709	539
300	14767	490
301	14828	441
302	14886	393
303	14933	343
304	14986	294
305	15040	245
306	15082	196
307	15121	147
308	15168	98
309	15210	49
310	15257	0
